optID,contMultNum,contractStatus,contractType,currencyCD,deliDate,delistDate,exchangeCD,exerDate,expDate,expMonth,expYear,lastTradeDate,listDate,secID,secShortName,strikePrice,tickerSymbol,varExchangeCD,varSecID,varShortName,varTicker,varType
10000060,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-02-27,510050P1504M02550.XSHG,50ETF沽4月2550,2.55,510050P1504M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000061,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-27,510050C1506M02550.XSHG,50ETF购6月2550,2.55,510050C1506M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000062,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-02-27,510050P1506M02550.XSHG,50ETF沽6月2550,2.55,510050P1506M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000063,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-27,510050C1509M02550.XSHG,50ETF购9月2550,2.55,510050C1509M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000064,10000,DE,PO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-02-27,510050P1509M02550.XSHG,50ETF沽9月2550,2.55,510050P1509M02550,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000065,10000,DE,CO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-17,510050C1503M02600.XSHG,50ETF购3月2600,2.6,510050C1503M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000066,10000,DE,PO,CNY,2015-03-26,2015-03-25,XSHG,2015-03-25,2015-03-25,03,2015,2015-03-25,2015-03-17,510050P1503M02600.XSHG,50ETF沽3月2600,2.6,510050P1503M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000067,10000,DE,CO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-17,510050C1504M02600.XSHG,50ETF购4月2600,2.6,510050C1504M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000068,10000,DE,PO,CNY,2015-04-23,2015-04-22,XSHG,2015-04-22,2015-04-22,04,2015,2015-04-22,2015-03-17,510050P1504M02600.XSHG,50ETF沽4月2600,2.6,510050P1504M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000069,10000,DE,CO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-17,510050C1506M02600.XSHG,50ETF购6月2600,2.6,510050C1506M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000070,10000,DE,PO,CNY,2015-06-25,2015-06-24,XSHG,2015-06-24,2015-06-24,06,2015,2015-06-24,2015-03-17,510050P1506M02600.XSHG,50ETF沽6月2600,2.6,510050P1506M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
10000071,10000,DE,CO,CNY,2015-09-24,2015-09-23,XSHG,2015-09-23,2015-09-23,09,2015,2015-09-23,2015-03-17,510050C1509M02600.XSHG,50ETF购9月2600,2.6,510050C1509M02600,XSHG,510050.XSHG,华夏上证50ETF,510050,F
